Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
SAM Complex (GO:0001401)	2/12	0.18839996197276032	0.7626014441805115	0	0	2.803456048084147	4.679495526712035	SAMM50;APOOL
AMPA Glutamate Receptor Complex (GO:0032281)	3/23	0.19510213805112397	0.7626014441805115	0	0	2.1030451127819547	3.436863773576485	CACNG7;CNIH2;CACNG3
Extrinsic Component of Cytoplasmic Side of Plasma Membrane (GO:0031234)	5/47	0.2018828602802952	0.7626014441805115	0	0	1.6696249282845668	2.671512834363631	CARMIL2;GNG4;GNAS;TYK2;JAK2
Ficolin-1-rich Granule Lumen (GO:1904813)	11/124	0.2041760043401872	0.7626014441805115	0	0	1.3662190566719772	2.1706118000438352	EEF1A1;ACTR2;CANT1;APAF1;PSMD13;COTL1;HUWE1;PDAP1;A1BG;ACTR10;DERA
Cell Projection Membrane (GO:0031253)	10/111	0.2052075871039639	0.7626014441805115	0	0	1.389431460152818	2.2004887217006313	BBS1;DMTN;SMO;SEPTIN2;SLC34A1;PALM;DRD1;ABCG2;DRD5;GPR157
Sodium Channel Complex (GO:0034706)	3/24	0.21270508970820426	0.7626014441805115	0	0	2.0027926960257787	3.100019926743319	SCN11A;GRIK4;SCN4A
Clathrin Vesicle Coat (GO:0030125)	2/13	0.2133665474028354	0.7626014441805115	0	0	2.548459804658152	3.9367172597137206	EPN3;CLTB
MIB Complex (GO:0140275)	2/13	0.2133665474028354	0.7626014441805115	0	0	2.548459804658152	3.9367172597137206	SAMM50;APOOL
Tight Junction (GO:0070160)	9/99	0.21378455567095078	0.7626014441805115	0	0	1.4030966767371602	2.1646786395110738	DLG1;RAP2B;CLDN15;PARD3;RAPGEF2;FRMD4A;FRMD4B;PRKCZ;MPDZ
Axon (GO:0030424)	18/220	0.21555059384054795	0.7626014441805115	0	0	1.251251741143696	1.9201203999065606	ROBO3;CNTNAP2;NRP2;SEPTIN14;CPT1C;IGSF9;SLC8A1;CD2AP;ACTG1;ALCAM;ZFYVE27;SCN11A;PALLD;TMEM108;CNTN4;LDLRAP1;SLC18A2;HCN2
Cell-cell Contact Zone (GO:0044291)	5/49	0.22628551625429452	0.7626014441805115	0	0	1.5935617469879517	2.367965397447585	TIAM1;DLG1;RAP2B;DSG2;SLC8A1
Kinetochore Microtubule (GO:0005828)	3/25	0.2306297623824007	0.7626014441805115	0	0	1.9116541353383458	2.8042850036664104	CLTB;CHMP3;RAB11A
Clathrin Coat of Coated Pit (GO:0030132)	2/14	0.23861252571566557	0.7626014441805115	0	0	2.335962935136489	3.3472346332533776	TBC1D5;SLC18A3
Cytoplasmic Side of Lysosomal Membrane (GO:0098574)	2/14	0.23861252571566557	0.7626014441805115	0	0	2.335962935136489	3.3472346332533776	EEF1A1;NPC1
ESC/E(Z) Complex (GO:0035098)	2/14	0.23861252571566557	0.7626014441805115	0	0	2.335962935136489	3.3472346332533776	AEBP2;SIRT1
Swr1 Complex (GO:0000812)	2/14	0.23861252571566557	0.7626014441805115	0	0	2.335962935136489	3.3472346332533776	ING3;DMAP1
Voltage-gated Sodium Channel Complex (GO:0001518)	2/14	0.23861252571566557	0.7626014441805115	0	0	2.335962935136489	3.3472346332533776	SCN11A;SCN4A
Caveola (GO:0005901)	6/63	0.24179630893937473	0.7626014441805115	0	0	1.4762225835878318	2.0957335711635166	ASAH2;SMO;SRC;ATP2B4;CDH13;JAK2
Vesicle Coat (GO:0030120)	4/38	0.24569623298683665	0.7626014441805115	0	0	1.6494489443632985	2.3152644023103415	EPN3;SEC24A;CLTB;TMED3
P Granule (GO:0043186)	3/26	0.24881583943887328	0.7626014441805115	0	0	1.8284406668846027	2.5434382316953945	EXD1;ANKRD34B;HELZ
U12-type Spliceosomal Complex (GO:0005689)	3/26	0.24881583943887328	0.7626014441805115	0	0	1.8284406668846027	2.5434382316953945	SF3B4;YBX1;SNRPB
Clathrin-coated Vesicle Membrane (GO:0030665)	8/90	0.2505818620190648	0.7626014441805115	0	0	1.3684307409111827	1.8938665688765186	EPN3;CLTB;TGFA;SLC17A7;LDLRAP1;SLC18A2;SLC2A8;SLC18A3
Specific Granule Membrane (GO:0035579)	8/91	0.26009063736716054	0.7626014441805115	0	0	1.3518708797453967	1.820598450385618	CEACAM3;TRPM2;PGRMC1;RAP2B;CLEC5A;MLEC;ANO6;TMC6
Ino80 Complex (GO:0031011)	2/15	0.2639898763159488	0.7626014441805115	0	0	2.1561578916950817	2.8716670806298277	ACTR5;NFRKB
T Cell Receptor Complex (GO:0042101)	2/15	0.2639898763159488	0.7626014441805115	0	0	2.1561578916950817	2.8716670806298277	ALCAM;SYK
MLL1 Complex (GO:0071339)	3/27	0.26720556296212566	0.7626014441805115	0	0	1.7521616541353384	2.3123925966005014	LAS1L;PHF20;RBBP5
MLL1/2 Complex (GO:0044665)	3/27	0.26720556296212566	0.7626014441805115	0	0	1.7521616541353384	2.3123925966005014	LAS1L;PHF20;RBBP5
Monoatomic Ion Channel Complex (GO:0034702)	4/40	0.2756633116873806	0.7626014441805115	0	0	1.5576456817991806	2.0071433515919956	STXBP5;ANO6;PKD2;LRRC8E
