Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Regulation of Synaptic Transmission, Cholinergic (GO:0032222)	1/6	0.11281395113074703	0.6062657316462619	0	0	9.949238578680204	21.709390476977187	HSPG2
Regulation of System Process (GO:0044057)	1/6	0.11281395113074703	0.6062657316462619	0	0	9.949238578680204	21.709390476977187	NOS3
Regulation of Tooth Mineralization (GO:0070170)	1/6	0.11281395113074703	0.6062657316462619	0	0	9.949238578680204	21.709390476977187	AMELX
Fructose 1,6-Bisphosphate Metabolic Process (GO:0030388)	1/6	0.11281395113074703	0.6062657316462619	0	0	9.949238578680204	21.709390476977187	PFKP
Response to Manganese Ion (GO:0010042)	1/6	0.11281395113074703	0.6062657316462619	0	0	9.949238578680204	21.709390476977187	ADAM9
Heme Transport (GO:0015886)	1/6	0.11281395113074703	0.6062657316462619	0	0	9.949238578680204	21.709390476977187	SLC48A1
Skeletal Muscle Thin Filament Assembly (GO:0030240)	1/6	0.11281395113074703	0.6062657316462619	0	0	9.949238578680204	21.709390476977187	ACTC1
Internal Protein Amino Acid Acetylation (GO:0006475)	1/6	0.11281395113074703	0.6062657316462619	0	0	9.949238578680204	21.709390476977187	KAT2A
Intestinal Epithelial Structure Maintenance (GO:0060729)	1/6	0.11281395113074703	0.6062657316462619	0	0	9.949238578680204	21.709390476977187	SOX9
Intracellular mRNA Localization (GO:0008298)	1/6	0.11281395113074703	0.6062657316462619	0	0	9.949238578680204	21.709390476977187	BICD1
Iodide Transport (GO:0015705)	1/6	0.11281395113074703	0.6062657316462619	0	0	9.949238578680204	21.709390476977187	SLC26A4
Iron Coordination Entity Transport (GO:1901678)	1/6	0.11281395113074703	0.6062657316462619	0	0	9.949238578680204	21.709390476977187	SLC48A1
L-arginine Catabolic Process (GO:0006527)	1/6	0.11281395113074703	0.6062657316462619	0	0	9.949238578680204	21.709390476977187	NOS3
Leukemia Inhibitory Factor Signaling Pathway (GO:0048861)	1/6	0.11281395113074703	0.6062657316462619	0	0	9.949238578680204	21.709390476977187	JAK2
Telencephalon Cell Migration (GO:0022029)	1/6	0.11281395113074703	0.6062657316462619	0	0	9.949238578680204	21.709390476977187	FGF13
Thiamine-containing Compound Metabolic Process (GO:0042723)	1/6	0.11281395113074703	0.6062657316462619	0	0	9.949238578680204	21.709390476977187	ACP3
Tricuspid Valve Development (GO:0003175)	1/6	0.11281395113074703	0.6062657316462619	0	0	9.949238578680204	21.709390476977187	ADAMTS19
Tricuspid Valve Morphogenesis (GO:0003186)	1/6	0.11281395113074703	0.6062657316462619	0	0	9.949238578680204	21.709390476977187	ADAMTS19
Membrane Repolarization During Ventricular Cardiac Muscle Cell Action Potential (GO:0098915)	1/6	0.11281395113074703	0.6062657316462619	0	0	9.949238578680204	21.709390476977187	DLG1
NAD+ Biosynthetic Process via the Salvage Pathway (GO:0034355)	1/6	0.11281395113074703	0.6062657316462619	0	0	9.949238578680204	21.709390476977187	PNP
Negative Regulation of Cardiac Muscle Adaptation (GO:0010616)	1/6	0.11281395113074703	0.6062657316462619	0	0	9.949238578680204	21.709390476977187	FOXO1
Negative Regulation of Cardiac Muscle Hypertrophy in Response to Stress (GO:1903243)	1/6	0.11281395113074703	0.6062657316462619	0	0	9.949238578680204	21.709390476977187	FOXO1
Negative Regulation of Collateral Sprouting (GO:0048671)	1/6	0.11281395113074703	0.6062657316462619	0	0	9.949238578680204	21.709390476977187	FGF13
Negative Regulation of Trophoblast Cell Migration (GO:1901164)	1/6	0.11281395113074703	0.6062657316462619	0	0	9.949238578680204	21.709390476977187	GJA1
Nucleotide-excision Repair, DNA Gap Filling (GO:0006297)	1/6	0.11281395113074703	0.6062657316462619	0	0	9.949238578680204	21.709390476977187	POLE
