Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Intracellular Membraneless Organelle (GO:0043232)	13/1196	0.7322861440004449	0.7673423955749342	0	0	0.8645930340845595	0.26939329912901966	ACTR2;BLM;ROCK2;UPF3A;MLH1;TENT4A;ANK1;ALDH3B2;SHQ1;STK24;RSL24D1;VCL;TAF1
Basolateral Plasma Membrane (GO:0016323)	2/209	0.736557932960751	0.7677349883241691	0	0	0.7644976432161786	0.233758446235772	ERBB2;ANK1
Cytoskeleton (GO:0005856)	6/592	0.7498284387876759	0.7774536970588007	0	0	0.8075253865925083	0.2324953179485192	LAD1;ACTR2;DES;ROCK2;ANK1;VCL
Cilium (GO:0005929)	3/320	0.7637278093538858	0.7877192588623848	0	0	0.7476340694006309	0.20152014585013292	EVC2;TTC23;DAAM1
Trans-Golgi Network Membrane (GO:0032588)	1/118	0.7729728368866056	0.7931023378471943	0	0	0.676661152467604	0.17424794098926438	STX11
Mitochondrial Matrix (GO:0005759)	4/432	0.7890082847233866	0.8053607880337159	0	0	0.7370970818233835	0.17467612977918706	ATP5F1A;LRRK2;CDK1;LIG3
Secretory Granule Membrane (GO:0030667)	2/281	0.8674492043252677	0.8808633672787513	0	0	0.5651183376140931	0.0803588798868439	SYNGR1;ABCA13
Microtubule Cytoskeleton (GO:0015630)	2/353	0.9361786060708618	0.9457804379279988	0	0	0.447535670207735	0.02951453092430227	KIF5B;CCT8
Cullin-RING Ubiquitin Ligase Complex (GO:0031461)	1/235	0.9482613891334902	0.9530994574453957	0	0	0.33631444720154396	0.017866734535566375	PRKN
Trans-Golgi Network (GO:0005802)	1/273	0.9680551646174268	0.9680551646174268	0	0	0.28876601043643263	0.009375136517326126	STX11
